	postcode	category	distance_m	title	address	position
0	AB15	airport	7215	Aberdeen Airport (ABZ)	Brent Road, Aberdeen, Aberdeen, AB21 0	[57.19996, -2.2046]
0	AB16	airport	5235	Aberdeen Airport (ABZ)	Brent Road, Aberdeen, Aberdeen, AB21 0	[57.19996, -2.2046]
0	AB21	airport	1102	Aberdeen Airport (ABZ)	Brent Road, Aberdeen, Aberdeen, AB21 0	[57.19996, -2.2046]
0	AB22	airport	5340	Aberdeen Airport (ABZ)	Brent Road, Aberdeen, Aberdeen, AB21 0	[57.19996, -2.2046]
0	AB23	airport	7172	Aberdeen Airport (ABZ)	Brent Road, Aberdeen, Aberdeen, AB21 0	[57.19996, -2.2046]
0	AB24	airport	6928	Aberdeen Airport (ABZ)	Brent Road, Aberdeen, Aberdeen, AB21 0	[57.19996, -2.2046]
0	AB25	airport	7617	Aberdeen Airport (ABZ)	Brent Road, Aberdeen, Aberdeen, AB21 0	[57.19996, -2.2046]
0	AL5	airport	7131	London Luton Airport (LTN)	London Luton Airport, Luton, LU2 9	[51.87868, -0.37534]
0	B25	airport	6213	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B26	airport	4061	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B27	airport	6171	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B28	airport	7920	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B33	airport	4931	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B34	airport	5946	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B36	airport	6662	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B37	airport	3092	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
0	B40	airport	1057	Birmingham Airport (BHX)	Birmingham Airport, Birmingham, B26 3	[52.45124, -1.73158]
