region,name,address,postcode,intake_type
Barnet & Enfield,Henrietta Barnett School,"Central Square, Hampstead Garden Suburb, London, NW11 7BN",NW11 7BN,Girls
Barnet & Enfield,Queen Elizabeth's School (QE Boys),"Queens Road, Barnet, EN5 4EE",EN5 4EE,Boys
Barnet & Enfield,St. Michael's Catholic Grammar School,"Nether Street, North Finchley, London, N12 7NJ",N12 7NJ,Girls
Barnet & Enfield,The Latymer School,"Haselbury Road, Edmonton, London, N9 9TN",N9 9TN,Mixed
Berkshire,Herschel Grammar School,"Northampton Avenue, Slough, SL1 3BW",SL1 3BW,Mixed
Berkshire,Kendrick School,"London Road, Reading, RG1 5BN",RG1 5BN,Girls
Berkshire,Langley Grammar School,"Reddington Drive, Slough, SL3 7QS",SL3 7QS,Mixed
Berkshire,Reading School,"Erleigh Road, Reading, RG1 5LW",RG1 5LW,Boys
Berkshire,St Bernard's Catholic Grammar School,"Langley Road, Slough, SL3 7AF",SL3 7AF,Mixed
Berkshire,Upton Court Grammar School,"Lascelles Road, Slough, SL3 7PR",SL3 7PR,Mixed
Bexley,Beths Grammar School,"Hartford Road, Bexley, DA5 1NE",DA5 1NE,Boys
Bexley,Bexley Grammar School,"Danson Lane, Welling, DA16 2BL",DA16 2BL,Mixed
Bexley,Chislehurst and Sidcup Grammar School,"Hurst Road, Sidcup, DA15 9AG",DA15 9AG,Mixed
Bexley,Townley Grammar School,"Townley Road, Bexleyheath, DA6 7AB",DA6 7AB,Girls
Bromley,Newstead Wood School,"Avebury Road, Orpington, BR6 9SA",BR6 9SA,Girls
Bromley,St Olave's & St Saviour's Grammar School,"Goddington Lane, Orpington, BR6 9SH",BR6 9SH,Boys
Buckinghamshire,Aylesbury Grammar School,"Walton Road, Aylesbury, HP21 7RP",HP21 7RP,Boys
Buckinghamshire,Aylesbury High School,"Walton Road, Aylesbury, HP21 7SX",HP21 7SX,Girls
Buckinghamshire,Beaconsfield High School,"Wattleton Road, Beaconsfield, HP9 1RR",HP9 1RR,Girls
Buckinghamshire,Burnham Grammar School,"Hogfair Lane, Burnham, SL1 7HQ",SL1 7HQ,Mixed
Buckinghamshire,Chesham Grammar School,"White Hill, Chesham, HP5 1RL",HP5 1RL,Mixed
Buckinghamshire,Dr Challoner's Grammar School,"Chesham Road, Amersham, HP6 5HA",HP6 5HA,Boys
Buckinghamshire,Dr Challoner's High School,"Cokes Lane, Little Chalfont, HP7 9QB",HP7 9QB,Girls
Buckinghamshire,John Hampden Grammar School,"Marlow Hill, High Wycombe, HP13 7LN",HP13 7LN,Boys
Buckinghamshire,Royal Grammar School,"Amersham Road, High Wycombe, HP13 6QT",HP13 6QT,Boys
Buckinghamshire,Royal Latin School,"Chandos Road, Buckingham, MK18 1RG",MK18 1RG,Mixed
Buckinghamshire,Sir Henry Floyd Grammar School,"Oxford Road, Aylesbury, HP21 8PE",HP21 8PE,Mixed
Buckinghamshire,Sir William Borlase's Grammar School,"West Street, Marlow, SL7 1RL",SL7 1RL,Mixed
Buckinghamshire,Wycombe High School,"Marlow Road, High Wycombe, HP11 1TB",HP11 1TB,Girls
Essex & Southend,Chelmsford County High School for Girls,"Broomfield Road, Chelmsford, CM2 6LR",CM2 6LR,Girls
Essex & Southend,Colchester County High School for Girls,"Norman Way, Colchester, CO3 3US",CO3 3US,Girls
Essex & Southend,Colchester Royal Grammar School,"Lexden Road, Colchester, CO3 3HD",CO3 3HD,Boys
Essex & Southend,King Edward VI Grammar School,"Broomfield Road, Chelmsford, CM1 1LX",CM1 1LX,Boys
Essex & Southend,Shoeburyness High School,"Caulfield Road, Shoeburyness, Southend-on-Sea, SS3 9QP",SS3 9QP,Mixed (Selective Stream)
Essex & Southend,Southend High School for Boys,"Prittlewell Chase, Southend-on-Sea, SS1 2TQ",SS1 2TQ,Boys
Essex & Southend,Southend High School for Girls,"Southchurch Boulevard, Southend-on-Sea, SS2 4UZ",SS2 4UZ,Girls
Essex & Southend,St Bernard's High School,"Milton Road, Westcliff-on-Sea, SS0 0AL",SS0 0AL,Girls
Essex & Southend,St Thomas More High School,"Kenilworth Gardens, Westcliff-on-Sea, SS0 0BW",SS0 0BW,Boys
Essex & Southend,Westcliff High School for Boys,"Kenilworth Gardens, Westcliff-on-Sea, SS0 0BP",SS0 0BP,Boys
Essex & Southend,Westcliff High School for Girls,"Kenilworth Gardens, Westcliff-on-Sea, SS0 9TD",SS0 9TD,Girls
Hertfordshire,Dame Alice Owen's School,"Dugdale Hill Lane, Potters Bar, EN6 2DU",EN6 2DU,Mixed (Selective Stream)
Hertfordshire,Parmiter's School,"High Elms Lane, Garston, Watford, WD25 0UU",WD25 0UU,Mixed (Selective Stream)
Hertfordshire,Rickmansworth School,"Scots Hill, Rickmansworth, WD3 3AQ",WD3 3AQ,Mixed (Selective Stream)
Hertfordshire,St Clement Danes School,"Chenies Road, Chorleywood, WD3 6EW",WD3 6EW,Mixed (Selective Stream)
Hertfordshire,Watford Grammar School for Boys,"Rickmansworth Road, Watford, WD18 7JF",WD18 7JF,Boys (Selective Stream)
Hertfordshire,Watford Grammar School for Girls,"Lady's Close, Watford, WD18 0AE",WD18 0AE,Girls (Selective Stream)
Kent & Medway,Barton Court Grammar School,"Canterbury, Kent, CT1 3SE",CT1 3SE,Mixed
Kent & Medway,Borden Grammar School,"Avenue of Remembrance, Sittingbourne, Kent, ME10 4BD",ME10 4BD,Boys
Kent & Medway,Chatham Grammar,"Holcombe Road, Chatham, Kent, ME4 5SD",ME4 5SD,Girls
