name,address,postcode,phone,gender_profile,size,day_boarding_type,religious_affiliation
Park Hill School,"8 Queen’s Road, Kingston upon Thames, Surrey, KT2 7SH",KT2 7SH,+44 (0)20 8546 5496,Coeducational,126,Day,All Faiths
Holy Cross Preparatory School,"George Road, Kingston upon Thames, KT2 7NU",KT2 7NU,+44 (0)20 8942 0729,Girls only,294,Day,Roman Catholic
Rokeby,"George Road, Kingston upon Thames, KT2 7PB",KT2 7PB,+44 (0)20 8942 2247,Boys only,404,Day,All Faiths
Canbury School,"Kingston Hill, Kingston upon Thames, Surrey, KT2 7LN",KT2 7LN,+44 (0)20 8549 8622,Coeducational,76,Day,All Faiths
Marymount London,"George Road, Kingston upon Thames, Surrey, KT2 7PE",KT2 7PE,+44 (0)20 8949 0571,Girls only,233,"Day, Weekly/Flexible Boarding, Full Boarding",Roman Catholic
Kingston Grammar School,"70 London Road, Kingston upon Thames, Surrey, KT2 6PY",KT2 6PY,+44 (0)20 8546 5875,Coeducational,873,Day,Non-denominational
Surbiton High Girls' Prep School,"95-97 Surbiton Road, Kingston upon Thames, Surrey, KT1 2HW",KT1 2HW,+44 (0)20 8546 9756,Girls only,293,Day,Church of England
Surbiton High Boys' Prep School,"3 Avenue Elmers, Surbiton, Surrey, KT6 4SP",KT6 4SP,+44 (0)20 8390 6640,Boys only,222,Day,Church of England
Surbiton High School,"13-15 Surbiton Crescent, Kingston upon Thames, Surrey, KT1 2JT",KT1 2JT,+44 (0)20 8546 5245,Girls only,1119,Day,Church of England
Westbury House School,"80 Westbury Road, New Malden, Surrey, KT3 5AS",KT3 5AS,020 8942 5885,Coeducational,104,Day,Non-denominational
The Study School,"57 Thetford Road, New Malden, Kingston, KT3 5DP",KT3 5DP,+44 (0)20 8942 0754,Coeducational,88,Day,All Faiths
The Rowans School,"19 Drax Avenue, Wimbledon, SW20 0EG",SW20 0EG,020 8946 8220,Coeducational,121,Day,All Faiths
Thomas's Putney Vale,"Stroud Crescent, London, SW15 3EQ",SW15 3EQ,020 3653 1640,,,,
Newland House School,"Waldegrave Park, Twickenham, TW1 4TQ",TW1 4TQ,+44 (0)20 8865 1305,Coeducational,463,Day,Church of England
The Study Preparatory School,"Wilberforce House, Camp Road, Wimbledon, SW19 4UN",SW19 4UN,+44 (0)20 8947 6969,Girls only,307,Day,Non-denominational
Hampton Court House,"Hampton Court Road, East Molesey, Surrey, KT8 9BS",KT8 9BS,020 8614 0857,Coeducational,295,Day,Non-denominational
Tennis Avenue School,"Manor Park, off Malden Road, New Malden, Surrey, KT3 6AU",KT3 6AU,(020) 8942 7583,Coeducational,12,Day,All Faiths
King's College Junior School,"Southside, Wimbledon Common, Wimbledon, SW19 4TT",SW19 4TT,+44 (0)20 8255 5335,Boys only,283,Day,Non-denominational
King's College School (KCS),"Southside, Wimbledon Common, Wimbledon, SW19 4TT",SW19 4TT,+44 (0)20 8255 5300,Boys only (co-ed sixth form),1191,Day,Church of England
Radnor House,"Pope's Villa, Cross Deep, Twickenham, TW1 4QG",TW1 4QG,+44 (0)20 8891 6264,Coeducational,450,Day,Non-denominational
Wimbledon Common Preparatory School,"113 Ridgway, Wimbledon, SW19 4TA",SW19 4TA,020 8946 1001,Boys only,170,Day,Non-denominational
