	price	type	address	url	agent_url	reduce_or_added_date	descriptions	postcode	number_bedrooms	search_date	key_features	tenure	station_list	floor_plan	prev_sold_info	similar_sold_link	location	outcode
0	1000000	1 bedroom apartment for sale	St Dunstans House, 133-137 Fetter Lane, London, EC4A	http://www.rightmove.co.uk/property-for-sale/property-67028266.html	http://www.rightmove.co.uk/estate-agents/agent/JLL/London-93814.html	Added on 16/08/2018	A stunning 1 bedroom apartment in the exclusive St Dunstan's Court. This luxury apartment is situated on the 4th floor, and boasts a high specification, approximately 514 sq ft of living space, under floor heating, double bedroom with large fitted wardrobes, luxury bathroom with porcel...	EC4A	1	2019-02-04 01:46:16.526257	, 1 Bedroom , 1 Bathroom , High specification , Comfort cooling and under floor heating , 24 Hour concierge , 0.3 miles from Chancery Lane underground station , Approx. 514 sq ft (47.8 sq m) , Leasehold , EPC: B ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/94k/93814/67028266/93814_CRL180352_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/94k/93814/67028266/93814_CRL180352_FLP_01_0000_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D900000%26maxPrice%3D1250000%26minBedrooms%3D1%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514710&longitude=-0.110089&zoomLevel=14&width=190&height=222&signature=eZY3qVo1TKjSEjTA9h4EtThw2WI=	EC4A
1	1650000	2 bedroom apartment for sale	St Dunstans House, Fetter Lane, London, EC4A	http://www.rightmove.co.uk/property-for-sale/property-67028284.html	http://www.rightmove.co.uk/estate-agents/agent/JLL/London-93814.html	Added on 16/08/2018	A stunning two bedroom apartment on the ground floor of the sought after St Dunstan's Court development. This luxury apartment offers appoximately 974 sq ft of living space and 146 sq ft of garden. The open plan living/kitchen features a fully fitted kitchen to include Siemens applia...	EC4A	2	2019-02-04 01:46:16.526257	, 2 Bedrooms , 2 Bathrooms , 24 Hour concierge , Residents' lounge , Overlooking the Grade II listed Maughan Library , 0.3 miles from Chancery Lane station , Approx. 974 sq ft (90.5 sq m) , Leasehold , EPC: B ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/94k/93814/67028284/93814_CRL180358_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/94k/93814/67028284/93814_CRL180358_FLP_01_0000_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D1250000%26maxPrice%3D2000000%26minBedrooms%3D2%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514910&longitude=-0.109963&zoomLevel=14&width=190&height=222&signature=-oKJ4SGt7nYhnuQi9ufIRUFyAxo=	EC4A
2	1650000	2 bedroom apartment for sale	St. Dunstans House, Holborn, London EC4A	http://www.rightmove.co.uk/property-for-sale/property-71994530.html	http://www.rightmove.co.uk/estate-agents/agent/Chase-Evans/City-and-Aldgate-97423.html	Reduced on 31/10/2017	A well-appointed two bedroom apartment set on the first floor of St. Dunstan's Court located in the heart of the financial and legal districts of the City. Offering an inviting living space, this fantastic property is showcases hard wood flooring in the living room, and modern finishes in the fit...	EC4A	2	2019-02-04 01:46:16.526257	, TWO BEDROOM  , FITTED KITCHEN , 910 SQ FT , FIRST FLOOR , CONCIERGE SERVICE , CHANCERY LANE STATION CLOSE BY ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/98k/97423/71994530/97423_P25436_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/98k/97423/71994530/97423_P25436_FLP_01_0000_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D1250000%26maxPrice%3D2000000%26minBedrooms%3D2%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514938&longitude=-0.110034&zoomLevel=14&width=190&height=222&signature=xffinE7VHDFkONkLfQbp8iao_3s=	EC4A
3	1610000	2 bedroom apartment for sale	St Dunstans House, Fetter Lane, London, EC4A	http://www.rightmove.co.uk/property-for-sale/property-74655302.html	http://www.rightmove.co.uk/estate-agents/agent/JLL/London-93814.html	Added on 25/07/2018	A great opportunity for both rental and investors or homeowners alike. This unit offers approximately 929 sq ft of living space comprising an open plan living/dining area, with contemporary fully fitted kitchen to include Siemens appliances, two bedrooms including a master bedroom wit...	EC4A	2	2019-02-04 01:46:16.526257	, 2 Bedrooms , 2 Bathrooms , 24 hour concierge and residents' lounge , Beautiful private residents garden , Overlooking stunning Grade II listed Maughan Library , 0.3 miles from Chancery Lane Underground station , Approx. 929 sq ft (86.3 sq m) , Leasehold , EPC: B ,	Leasehold	Chancery Lane (0.3 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/94k/93814/74655302/93814_CRL180264_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/94k/93814/74655302/93814_CRL180264_FLP_01_0000_max_600x600.jpg			//media.rightmove.co.uk/map/_generate?latitude=51.514833&longitude=-0.109936&zoomLevel=14&width=190&height=222&signature=xSfsPXinHf6vd2JTgHEsFwMZ8dU=	EC4A
4	1610000	2 bedroom apartment for sale	St. Dunstans House, Fetter Lane, Holborn EC4A	http://www.rightmove.co.uk/property-for-sale/property-59207276.html	http://www.rightmove.co.uk/estate-agents/agent/Chase-Evans/City-and-Aldgate-97423.html	Added on 09/03/2016	A two bedroom, two bathroom apartment on the 2nd floor of St Dunstans Court; ideally located near to the West End and the City. This apartment includes a fitted kitchen with integrated appliances, wood flooring, full length windows, fitted bedroom storage, master en suite, stylish bathroom décor ...	EC4A	2	2019-02-04 01:46:16.526257	, TWO BEDROOM APARTMENT , TWO BATHROOMS , 2ND FLOOR , 910 SQ FT , BALCONY , CONCIERGE , CLOSE TRANSPORT LINKS ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/98k/97423/59207276/97423_P29522_FLP_03_0001_max_600x600.jpghttps://media.rightmove.co.uk/dir/98k/97423/59207276/97423_P29522_FLP_03_0001_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D1250000%26maxPrice%3D2000000%26minBedrooms%3D2%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514938&longitude=-0.110034&zoomLevel=14&width=190&height=222&signature=xffinE7VHDFkONkLfQbp8iao_3s=	EC4A
5	1600000	2 bedroom apartment for sale	St Dunstans House, 133-137 Fetter Lane, London	http://www.rightmove.co.uk/property-for-sale/property-34385622.html	http://www.rightmove.co.uk/estate-agents/agent/Hastings-International/London-Bridge-14606.html	Reduced on 22/08/2017	Superb two bedroom sixth floor apartment with three balconies set within St Dunstan's House, a boutique new development conveniently located for access to Chancery Lane, Covent Garden and the West End. Occupying part of the sixth floor this stunning brand new apartment compr...		2	2019-02-04 01:46:16.526257	, St Dunstan's House EC4A , 783 Sq Ft , Two Double Bedrooms/Two Bathrooms , Three Balconies , Stylish Interior , Sixth Floor , 24Hr Concierge , Superb Location ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/15k/14606/34385622/14606_3776064_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/15k/14606/34385622/14606_3776064_FLP_01_0000_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D1250000%26maxPrice%3D2000000%26minBedrooms%3D2%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514443&longitude=-0.111266&zoomLevel=14&width=190&height=222&signature=xCxZ-PHQVOZUZnGKWupAhK9nV3o=	EC4A
6	1590000	2 bedroom apartment for sale	8 St Dunstan's Court, Fetter Lane, London	http://www.rightmove.co.uk/property-for-sale/property-56018475.html	http://www.rightmove.co.uk/estate-agents/agent/Ernest-Brooks-International/London-162914.html	Added on 10/08/2018	A beautifully presented two bedroom (910sq ft) apartment on the first floor of St Dunstans Court, EC4A overlooking the courtyard. The apartment is a generous size and comprises an open plan living/dining area, with contemporary fully fitted kitchen including Siemens appliances. There is ...		2	2019-02-04 01:46:16.526257	, 910 sqft 2 Bedrooms, 2 Bathrooms , Luxury Specification Throughout , 24 hour concierge and resident's lounge , Beautiful private resident's garden , 0.3 miles from Chancery Lane Underground station , Video entry system , Ground Rent: £500PA , Est Service Charge: £5.50PSF , EPC: B & Lease Term: 999 Years , Viewings Welcome! ,		Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/163k/162914/56018475/162914_28107254_FLP_01_0000.png		https://www.rightmove.co.uk/house-prices/EC4A-1ES.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E3982883%26minPrice%3D1250000%26maxPrice%3D1750000%26minBedrooms%3D2%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514915&longitude=-0.110041&zoomLevel=14&width=190&height=222&signature=ntWs9DMJgHY3gesgYna3Yj_JvOQ=	EC4A
7	1200000	1 bedroom apartment for sale	St Dunstans House, 133-137 Fetter Lane, London	http://www.rightmove.co.uk/property-for-sale/property-66559088.html	http://www.rightmove.co.uk/estate-agents/agent/Hastings-International/London-Bridge-14606.html	Reduced on 04/09/2018	A superb one bedroom apartment set within popular St Dunstan's House, a boutique modern development with concierge facilities, fine views and attractive communal gardens located just off Fleet Street moments from City Thameslink and Chancery Lane. This beautifully appointed ...		1	2019-02-04 01:46:16.526257	, St Dunstans House EC4A , 564 Sq Ft , One Bedroom , Two Balconies , Beautiful Views , Second Floor , Boutique Modern Development , 24Hr Concierge Facilities ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/15k/14606/66559088/14606_4432716_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/15k/14606/66559088/14606_4432716_FLP_01_0000_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D1000000%26maxPrice%3D1500000%26minBedrooms%3D1%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514499&longitude=-0.110603&zoomLevel=14&width=190&height=222&signature=Fc-wZ-LMimwUYCFuIp2VWnI_QkE=	EC4A
8	1050000	1 bedroom apartment for sale	Fetter Lane, City Of London, EC4A	http://www.rightmove.co.uk/property-for-sale/property-73122287.html	http://www.rightmove.co.uk/estate-agents/agent/CBRE-Residential/West-End-80905.html	Added on 11/05/2018	One bedroom flat in Holborn. CBRE Residential are delighted to bring to market this fantastic one bedroom in a brand new development, St Dunstan’s Court, located on the ever popular Fetter Lane in the City of London. St Dunstan’s Court includes dual lift ac...	EC4A	1	2019-02-04 01:46:16.526257	, One Bedroom Flat , New Development , Central location , Concierge , 537 SQFT ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/81k/80905/73122287/80905_BSL170250_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/81k/80905/73122287/80905_BSL170250_FLP_01_0000_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D900000%26maxPrice%3D1250000%26minBedrooms%3D1%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514910&longitude=-0.109963&zoomLevel=14&width=190&height=222&signature=-oKJ4SGt7nYhnuQi9ufIRUFyAxo=	EC4A
9	1000000	1 bedroom apartment for sale	St Dunstans House, 133-137 Fetter Lane, London, EC4A	http://www.rightmove.co.uk/property-for-sale/property-67028266.html	http://www.rightmove.co.uk/estate-agents/agent/JLL/London-93814.html	Added on 16/08/2018	A stunning 1 bedroom apartment in the exclusive St Dunstan's Court. This luxury apartment is situated on the 4th floor, and boasts a high specification, approximately 514 sq ft of living space, under floor heating, double bedroom with large fitted wardrobes, luxury bathroom with porcel...	EC4A	1	2019-02-04 01:46:16.526257	, 1 Bedroom , 1 Bathroom , High specification , Comfort cooling and under floor heating , 24 Hour concierge , 0.3 miles from Chancery Lane underground station , Approx. 514 sq ft (47.8 sq m) , Leasehold , EPC: B ,	Leasehold	Chancery Lane (0.2 mi) City Thameslink (0.3 mi) City Thameslink (0.3 mi)	https://media.rightmove.co.uk/dir/94k/93814/67028266/93814_CRL180352_FLP_01_0000_max_600x600.jpghttps://media.rightmove.co.uk/dir/94k/93814/67028266/93814_CRL180352_FLP_01_0000_max_600x600.jpg		https://www.rightmove.co.uk/house-prices/EC4A-1BF.html?backListLink=%2Fproperty-for-sale%2Ffind.html%3FlocationIdentifier%3DPOSTCODE%255E4519349%26minPrice%3D900000%26maxPrice%3D1250000%26minBedrooms%3D1%26radius%3D0.5	//media.rightmove.co.uk/map/_generate?latitude=51.514710&longitude=-0.110089&zoomLevel=14&width=190&height=222&signature=eZY3qVo1TKjSEjTA9h4EtThw2WI=	EC4A
