	price	type	address	url	agent_url	reduce_or_added_date	descriptions	postcode	number_bedrooms	search_date	cost_per_room	outcode
0	1746.0	1 bedroom flat	Cliffords Inn, Fetter Lane, City of London, Covent Garden	http://www.rightmove.co.uk/property-to-rent/property-69693946.html	http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Covent-Garden-and-West-End-Lettings-63025.html	Added on 25/01/2019	 Bright & well presented 1 BEDROOM APARTMENT found on the 7th floor of this 24 hour portered development. Situated just off Fleet Street convenient for the CITY & Chancery Lane underground station. 		1.0	2019-02-04 01:36:08.301438	1746.0	EC4A
1	2253.0	1 bedroom apartment	Bolt Court	http://www.rightmove.co.uk/property-to-rent/property-78983438.html	http://www.rightmove.co.uk/estate-agents/agent/Hillson/London-201554.html	Reduced on 01/02/2019	This well-appointed one bedroom apartment to rent tucked away in a beautiful pedestrian courtyard called Bolt Court. The apartment itself is situated in Gough House which is an attractive Grade II listed red brick building that was converted from an art school in 2008 and retains many of the orig...		1.0	2019-02-04 01:36:08.301438	2253.0	EC4A
2	1950.0	1 bedroom apartment	Pemberton House, 7 Pemberton Row, City Of London, London, EC4A	http://www.rightmove.co.uk/property-to-rent/property-78254069.html	http://www.rightmove.co.uk/estate-agents/agent/Savills-Lettings/Shoreditch-120061.html	Reduced on 31/01/2019	A beautifully presented 1 bedroom apartment located just off Fleet Street.	EC4A	1.0	2019-02-04 01:36:08.301438	1950.0	EC4A
3	4312.0	2 bedroom penthouse	St Dunstans House, 133-137 Fetter Lane, London, EC4A	http://www.rightmove.co.uk/property-to-rent/property-68614993.html	http://www.rightmove.co.uk/estate-agents/agent/JLL/London-93814.html	Reduced on 30/01/2019	A fantastic penthouse apartment in the sought after St Dunstans House, close to Holborn and Chancery Lane. Arranged over 2 floors, this luxury 2 bedroom penthouse is offered fully furnished. The lower level offering a spacious living / dining area with open plan kitchen cloakroom. The ...	EC4A	2.0	2019-02-04 01:36:08.301438	2156.0	EC4A
4	4312.0	2 bedroom apartment	Fetter Lane, City Of London, EC4A	http://www.rightmove.co.uk/property-to-rent/property-74969714.html	http://www.rightmove.co.uk/estate-agents/agent/CBRE-Residential/West-End-80905.html	Reduced on 30/01/2019	A stunning two bedroom duplex Penthouse to rent in a modern development, EC4A CBRE Residential are delighted to bring to market this beautifully presented 2 bedroom penthouse apartment to rent in the sought after St. Dunstan’s Court, located on the ever popular Fetter ...	EC4A	2.0	2019-02-04 01:36:08.301438	2156.0	EC4A
5	1863.0	1 bedroom apartment	Fetter Lane, EC4	http://www.rightmove.co.uk/property-to-rent/property-78455789.html	http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Covent-Garden-Lettings-50969.html	Reduced on 28/01/2019	- Zero Deposit Available - One Bedroom - Portered Block - All Bills Included - Furnished - Seventh Floor - Chancery Lane Station and Temple Station nearby - Recently Redecorated -Available end of March	EC4	1.0	2019-02-04 01:36:08.301438	1863.0	EC4A
6	1746.0	1 bedroom flat	Cliffords Inn, Fetter Lane, City of London, Covent Garden	http://www.rightmove.co.uk/property-to-rent/property-69693946.html	http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Covent-Garden-and-West-End-Lettings-63025.html	Added on 25/01/2019	 Bright & well presented 1 BEDROOM APARTMENT found on the 7th floor of this 24 hour portered development. Situated just off Fleet Street convenient for the CITY & Chancery Lane underground station. 		1.0	2019-02-04 01:36:08.301438	1746.0	EC4A
7	1950.0	1 bedroom apartment	Greystoke Place, City Of London, London, EC4A	http://www.rightmove.co.uk/property-to-rent/property-69656257.html	http://www.rightmove.co.uk/estate-agents/agent/Frank-Harris-and-Company/City-Barbican-and-Clerkenwell-71134.html	Added on 18/01/2019	A wonderful contemporary apartment, located in the City close to Fleet Street, Chancery Lane underground station and the Law Courts. Long let, ,	EC4A	1.0	2019-02-04 01:36:08.301438	1950.0	EC4A
8	3792.0	2 bedroom flat	Fetter Lane EC4A	http://www.rightmove.co.uk/property-to-rent/property-58562679.html	http://www.rightmove.co.uk/estate-agents/agent/Hamptons-International-Lettings/City-43829.html	Reduced on 11/01/2019	Superbly presented two bedroom penthouse apartment in the heart of the City of London, moments from Fleet Street and Chancery Lane. This spacious duplex apartment benefits from large terrace which is about to undergo refurbishment, two double bedrooms, two bathrooms, large open plan reception and...	EC4A	2.0	2019-02-04 01:36:08.301438	1896.0	EC4A
9	4000.0	2 bedroom apartment	St Dunstans House, 133-137 Fetter Lane	http://www.rightmove.co.uk/property-to-rent/property-69596827.html	http://www.rightmove.co.uk/estate-agents/agent/Waterfronts/London-48795.html	Added on 03/01/2019	An exquisite two bedroom apartment within the exclusive new St Dunstan's House development. This spacious apartment is finished to a high specification and features the highest quality fixtures and fittings. This beautiful unit offers an open plan living/dining area opening onto a stunni...		2.0	2019-02-04 01:36:08.301438	2000.0	EC4A
